id,name,city,abbreviation,conference,division,logo_url,bye_week
1,Cardinals,Arizona,ARI,NFC,West,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/ari.png,11
2,Falcons,Atlanta,ATL,NFC,South,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/atl.png,12
3,Ravens,Baltimore,BAL,AFC,North,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/bal.png,14
4,Bills,Buffalo,BUF,AFC,East,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/buf.png,12
5,Panthers,Carolina,CAR,NFC,South,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/car.png,11
6,Bears,Chicago,CHI,NFC,North,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/chi.png,7
7,Bengals,Cincinnati,CIN,AFC,North,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/cin.png,12
8,Browns,Cleveland,CLE,AFC,North,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/cle.png,10
9,Cowboys,Dallas,DAL,NFC,East,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/dal.png,7
10,Broncos,Denver,DEN,AFC,West,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/den.png,14
11,Lions,Detroit,DET,NFC,North,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/det.png,5
12,Packers,Green Bay,GB,NFC,North,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/gb.png,10
13,Texans,Houston,HOU,AFC,South,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/hou.png,14
14,Colts,Indianapolis,IND,AFC,South,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/ind.png,14
15,Jaguars,Jacksonville,JAX,AFC,South,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/jax.png,12
16,Chiefs,Kansas City,KC,AFC,West,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/kc.png,6
17,Raiders,Las Vegas,LV,AFC,West,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/lv.png,10
18,Chargers,Los Angeles,LAC,AFC,West,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/lac.png,5
19,Rams,Los Angeles,LAR,NFC,West,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/lar.png,6
20,Dolphins,Miami,MIA,AFC,East,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/mia.png,6
21,Vikings,Minnesota,MIN,NFC,North,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/min.png,6
22,Patriots,New England,NE,AFC,East,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/ne.png,14
23,Saints,New Orleans,NO,NFC,South,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/no.png,12
24,Giants,New York,NYG,NFC,East,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/nyg.png,11
25,Jets,New York,NYJ,AFC,East,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/nyj.png,12
26,Steelers,Pittsburgh,PIT,AFC,North,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/pit.png,9
27,Eagles,Philadelphia,PHI,NFC,East,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/phi.png,5
28,49ers,San Francisco,SF,NFC,West,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/sf.png,9
29,Seahawks,Seattle,SEA,NFC,West,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/sea.png,10
30,Buccaneers,Tampa Bay,TB,NFC,South,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/tb.png,11
31,Titans,Tennessee,TEN,AFC,South,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/ten.png,5
32,Commanders,Washington,WSH,NFC,East,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nfl/500/wsh.png,14
